channel_id,title,description,publishedAt,subscriberCount,viewCount,videoCount,handle
UCIvqWqjC4aLvp7zI8hzARrA,Little Mix,"Our new album Between Us is out now 🤍
",2011-11-30T16:21:06Z,16500000,8262499769,278,UCIvqWqjC4aLvp7zI8hzARrA
UC1WQwEZoE9K-QE-yKNRvItw,JJ Olatunji without ads,"SUBSCRIBE


MAKE SURE TO SUBSCRIBE TO THE REAL ONE:
https://www.youtube.com/channel/UCGmnsW623G1r-Chmo5RB4Yw
",2022-03-24T03:08:53.467229Z,3,51,10,UCGmnsW623G1r
UCCj956IF62FbT7Gouszaj9w,BBC,"The BBC is the world’s leading public service broadcaster.

We’re impartial and independent, and every day we create distinctive, world-class programmes and content which inform, educate and entertain millions of people in the UK and around the world.

SUBSCRIBE to our YouTube channel to get the best of BBC entertainment and comedy programmes, stories from science and nature documentaries, and much more! 👉 https://bit.ly/2IXqEIn

Get ALL your fresh TV, and sofa-hugging box sets on iPlayer 👉 https://bbc.in/2J18jYJ",2005-11-12T02:36:31Z,14900000,11234429960,23681,UCCj956IF62FbT7Gouszaj9w
UCeIW9ClMjcUV1X9WYgqs82A,Adnan Hampun,"อัดนาน   เหมพันธุ์
https://www.youtube.com/channel/UC0sx4G1l5yqAb_nbs8RI-dw
https://www.youtube.com/channel/UC-sY68UEIiDvzuwntcm-IVg
https://www.youtube.com/channel/UCvO_yPUN8Or1OwNAAhkEhxg
https://www.youtube.com/channel/UCkOzCGBHbRww_MCTlizenmg
https://www.youtube.com/channel/UCfzBbgp6kh0hkN3F-e0ozcA
https://www.youtube.com/channel/UCTOgkbSAq-xXy8Qzyn9MpJQ
https://www.youtube.com/channel/UCBq5hp6DvwWam2XOXw6lYJA
https://www.youtube.com/channel/UC2l6d779tlwLN3ia9T1ehwg
https://www.youtube.com/channel/UCUpg0w4wZRuOXKEhyh6xZ5g
https://www.youtube.com/channel/UCmNg6M_SHHJNwniV4Ms7TMA
https://www.youtube.com/channel/UC3ZkCd7XtUREnjjt3cyY_gg
https://www.youtube.com/channel/UC48h7Dst_hX82HxOf3xJw_w
https://www.youtube.com/channel/UCUR_q3i5yONr9BghspQzqyg
https://www.youtube.com/channel/UCrFDdD-EE05N7gjwZho2wqw
https://www.youtube.com/channel/UC8f7MkX4MFOOJ2SerXLInCA
https://www.youtube.com/channe

https://www.youtube.com/channel/UCLcCpNY-zaL3vEERD5rh5Ew",2016-07-16T11:40:23Z,6700,452407,2352,UCBq5hp6DvwWam2XOXw6lYJA
UCp68_FLety0O-n9QU6phsgw,colinfurze,"This channel is the home of crazy inventions, brilliant world records and constant disregard to health and safety. I guarantee you will not be disappointed with the videos uploaded as there some of the best and most original on the net and it is TV shows that copy me not the other way round. Thanks and hope you have enjoyed the ride.


THE BEST CHANNEL ON YOUTUBE",2006-11-15T23:10:11Z,13200000,1855331284,430,UCp68_FLety0O
UC5p_l5ZeB_wGjO_yDXwiqvw,TommyInnit,I'm overrated but still good,2015-12-24T16:32:41Z,15100000,2571261099,514,UC5p_l5ZeB_wGjO_yDXwiqvw
UCtd7lyltiitPBi1-EgP9VxQ,Morgz Clips,"Morgz is the new king of Youtube.

Daily uploads of clips from the whole Morgz Squad!

Subscribe for all the crazy and funny clips from Morgz.

To see the full videos you should check Morgz out at https://www.youtube.com/channel/UCBwSufNse8VMBvQM_rCSvgQ

For any other enquiries please email us at ralphward15@yahoo.com",2019-03-09T10:01:28Z,648,54799,50,UCBwSufNse8VMBvQM_rCSvgQ
UC6sSkkemzPjmrzS0Y0V_2zw,Tiana,"Business inquiries: tiana@offlimitssocial.com
Other: cherina@hotmail.co.uk
",2015-04-05T10:35:02Z,11400000,3260914461,1060,UC6sSkkemzPjmrzS0Y0V_2zw
UCgdxW1dVRuU9_GekSa1pLTQ,ps4 gaming,"hi my first YouTube Chanel  and Im am very inspired  to do videos for you people
make sure you cheek  Chanelhttps://www.youtube.com/channel/UCHdMK5Ef2El8KbD3L_WgANg   https://www.youtube.com/channel/UCJ5v_MCY6GNUBTO8-D3XoAg",2015-03-26T23:56:44Z,3,23,2,UCHdMK5Ef2El8KbD3L_WgANg
UC4pEp0mo54WhEBCTYvjVDJA,Jessie J,"The Official Jessie J YouTube Channel.
http://www.JessieJofficial.com",2007-10-28T21:16:24Z,10800000,6153903238,154,UC4pEp0mo54WhEBCTYvjVDJA
UCwTRjvjVge51X-ILJ4i22ew,Sing King,"Sing King - Karaoke songs with lyrics. Karaoke Piano, Karaoke Acoustic we’ve got all you can imagine to sing along to. Tagalog karaoke, Karaoke español, karaoke francais, many Karaoke lagu wherever you’re from.

Join our Discord - https://discord.com/invite/ecDYMX9js4

Looking for something more than just Karaoke? Try our New Karaoke Game!
https://singking.link/Game_banner

* Sing along to your favorite tracks and be scored on your performance *
* Earn up to 5 stars + a special medal on a song and climb the leaderboards *
* Challenge other singers from around the world on the leaderboards *


",2012-11-16T09:54:18Z,13500000,9811364048,4947,UCwTRjvjVge51X
UCEwIUtFBhaI2L2PuKv0KL2g,Classic Mr Bean,"Welcome to Classic Mr Bean, home to the live-action series of world famous British sitcom Mr Bean! 

Here on the Classic Mr Bean YouTube channel, you’ll find all of your favourite Mr Bean adventures from the classic Mr Bean series as well as some of his marvellous movie moments!  

Watch full episodes, funny clips and classic compilations from Rowan Atkinson and Richard Curtis’s iconic comedy.   

Mr Bean uses his unusual wit to fulfil everyday tasks - but more often than not, ends up creating trouble for himself and those around him. Mr Bean lives with Teddy, his stuffed brown bear and drives around in his classic Mini.  

Make sure to subscribe so you don’t miss any of our uploads! 

Facebook: https://www.facebook.com/MrBean 
Twitter: https://twitter.com/MrBean 
TikTok: https://www.tiktok.com/@mrbean 

Find more Mr Bean: https://linktr.ee/mrbean
",2017-06-29T16:47:38Z,10800000,3536125743,2152,UCEwIUtFBhaI2L2PuKv0KL2g
UC2Vqzv_umNsMPHk94Abeqhw,sambeneteau10,"Hi my name is Sam and the reason this you tube channel started was because my friends and popular you tubers inspired me to start one and the links are

UFO pubstomperz:
http://www.youtube.com/channel/UCgivsqSfpf3e1969J9ANO2Q

TheSyndicateProject:
http://www.youtube.com/channel/UC1ieoHqKW-yYgDhLHIcx28w",2012-03-31T08:46:55Z,12,0,0,UC1ieoHqKW
UCCNaMMlI3cOc7yFg52riTqg,Julius Dein,"Free-spirited magician traveling the world! I am Julius Dein.

Business Inquiries - management@juliusdein.com


",2014-11-25T18:31:36Z,9330000,2633014524,385,juliusdein
UCEY1ejsweY4DgMwOVJeEaBA,The X Factor UK,"Welcome to the official YouTube channel for The X Factor in the UK. For more exclusive backstage clips and all the juicy gossip on The X Factor visit itv.com/xfactor, stv.tv/xfactor.",2007-08-03T08:50:48Z,9230000,7107583653,5676,UCEY1ejsweY4DgMwOVJeEaBA
UCz4tgANd4yy8Oe0iXCdSWfA,English with Lucy,"Click to download my FREE B1-C1 Ebook!👇It contains ALL the vocab and grammar you need to learn to pass the B1, B2 & C1 levels of English!👇",2016-01-06T20:02:33Z,12200000,557095980,411,UCz4tgANd4yy8Oe0iXCdSWfA
UC977n5nXRn8MDuGQjwxkOLw,Cartoons for Kids,"Welcome to Cartoons for Kids! 

Follow the fun and amazing adventures of the animated version of Mr Bean, the British icon of the 1990s and a comedy for fans of all ages. Starring Rowan Atkinson.

Subscribe!

#mrbean #mrbeancartoons #cartoonsforkids #mrbeananimated
",2017-04-26T09:43:53Z,9110000,3523415948,2839,UC977n5nXRn8MDuGQjwxkOLw
UCBH3Xm_zhdYGo2GNssEo6ag,RedstoneBois,"We are small group of Teenagers that want to make stupid (but funny) Redstone YouTube videos everyone can enjoy. 
To be honest we are not good. So if your trying to learn to do something, U vil suffer with us. Ok by now.



Please Just help ussssss...
Inspiration: Mumbo Jumbo
https://www.youtube.com/channel/UChFur_NwVSbUozOcF_F2kMg",2019-11-09T04:37:52.803786Z,9,118,6,UChFur_NwVSbUozOcF_F2kMg
UCTxMie3S0nHeGMIEorRbbpg,Kaxaber1,https://www.youtube.com/channel/UCjOl2AUblVmg2rA_cRgZkFg,2016-10-10T17:05:02Z,15,0,0,UCjOl2AUblVmg2rA_cRgZkFg
UC1QqdFv5e9QSEi0eYdfwuqw,Moonbug Kids - Kids Learning Videos,"The best learning videos and baby songs for children on YouTube - stunning and colorful 3D animations in beautiful HD! 

Learn exciting new skills like how to get dressed, how to brush your teeth, how to count to ten and how to learn your ABCs!

New videos every week! So make sure you subscribe so you don't miss out!

Click here to subscribe! : https://www.youtube.com/channel/UC1QqdFv5e9QSEi0eYdfwuqw?sub_confirmation=1

Click here to view our Playlists! : https://www.youtube.com/channel/UC1QqdFv5e9QSEi0eYdfwuqw/playlists

Be sure to check out or main channel for even more great LBB content:
Little Baby Bum - Nursery Rhymes & Kids Songs https://www.youtube.com/user/LittleBabyBum/videos",2018-09-10T15:10:18Z,14100000,9970780861,2008,UC1QqdFv5e9QSEi0eYdfwuqw
UC9LQwHZoucFT94I2h6JOcjw,Liverpool FC,"Get closer to the Reds than anyone else!

Well, you're in the right place with new and exclusive uploads bringing you closer to the Reds, every week. Watch match highlights, exclusive behind-the-scenes access through Inside Anfield and Inside Training, and loads more. 

Never miss an upload - subscribe to Premier League's biggest and most watched YouTube channel now.",2005-10-23T01:19:05Z,11300000,3529251158,8395,liverpoolfc
UCHFA6Nt11kE_8OWIya0SQDQ,PlayToys,"Hi Play Toys Fans!

Play Toys channel creates kid friendly and fun videos with doll clothes for dress up, makeup toys, doll furniture for dollhouse. Our story lines involve family routines and good habits, cultural traditions, school motivation and overall developing videos for children.

Thank you for visiting and watching our videos!


For business inquires e-mail:
info@playtoyschannel.com",2015-02-19T16:24:02Z,7990000,3127618118,976,UCHFA6Nt11kE_8OWIya0SQDQ
UCUhFaUpnq31m6TNX2VKVSVA,carwow,"I'm Mat Watson, and you're watching Carwow.

Whether you're after in-depth advice on your next new car or simply want to watch the most exciting drag races on YouTube you'll find it all right here on the world's best car channel.

And for everything else - from comprehensive reviews, real car prices or advice you can trust - head over to Carwow.

This IS how car-changing should feel.
",2014-01-02T16:32:13Z,10300000,4755870786,3122,UCUhFaUpnq31m6TNX2VKVSVA
UC5Y1pPVNm-odhiubuRO1D6A,Jeremy Lynch,"You may know me from F2freestylers, TikTok, Instagram or the Jez & Shauna YouTube Channel! Welcome to my personal YouTube Channel where you can get to see a different side of me with action packed vlogs of my life that are full of surprises! Enjoy & Click the Notification Bell to make sure you never miss a video! ",2020-10-20T18:05:58.006279Z,13000000,7218779667,971,UC5Y1pPVNm
UC2jKNFs0wQQVTONvZ4PhM6w,To much dogs!,,2025-03-19T14:00:13.431784Z,4,18,8,UCH
UCfeWqsGVsUQeS0e0tZvdSDA,Jenna.m.brooks,https://www.youtube.com/watch?v=TyBCqMGKANghttps://www.youtube.com/watch?v=QFYADcDMl0Ehttps://www.youtube.com/watch?v=toHuh4fr1Oghttps://www.youtube.chttps://www.youtube.com/watch?v=2uIY2QkH29Qom/watch?v=BtT-sH3DHhttps://www.yhttps://www.youtube.com/channel/UCkHr3s40wguuatUUt-r-m4Qoutube.com/channel/UCR9Gcq0Chttps://www.youtube.com/channel/UC3D_ZXHwaKekKwbO_LM48OQMhttps://www.youtube.com/channel/UCGwPbAQdGA3_88WBuGtg9twm6YgTzsDxAxjOQQshttps://www.youtube.com/chanhttpshttps://www.youtube.com/channel/UCzTlXb7ivVzuFlugVCv3Kvg://www.youtube.com/channel/UCNGiT6OlFTQz9Fppa1tNZ3Qnehttps://www.youtube.com/channel/UC4PooiX37Pld1T8J5SYT-SQl/UChttps://www.youtube.https://www.youtube.com/channel/UCTSgL879b38-SpagfMarQ8Qcom/channel/UC1EBJfK7ltjYUFyzysKxr1gzYfz8uibvnB7Ychttps://www.youtube.com/channel/UCZdRp0ytxeSp_nKbMaBZCsQ1LjePi4g,2015-12-25T15:06:07Z,19,961,55,UCzTlXb7ivVzuFlugVCv3Kvg
UCmst562fALOY2cKb4IFgqEg,Boomerang UK,"Check out the Boomerang UK YouTube channel for funny cartoon videos featuring Tom and Jerry, Scooby-Doo, Looney Tunes, and many more! 

Don’t miss out on the best selection of cartoons, gags, pranks and laugh out loud moments that will get you rolling on the floor with laughter with the whole family. Subscribe now to our channel for weekly updates.


",2015-10-13T09:40:15Z,8130000,4286738706,2769,UCmst562fALOY2cKb4IFgqEg
UCV5Gw7GGOMxe6SSF6llp_3Q,James Arthur,"Welcome to the official YouTube Channel of James Arthur! 

PISCES - The new album - OUT NOW
💿 https://jamesarthur.lnk.to/Pisces

After the overwhelming success of his chart-topping album Bitter Sweet Love, James Arthur is ready to take his fans on a deeply personal musical journey with his highly anticipated sixth studio album, PISCES, set for release on April 25, 2024.

PISCES continues James Arthur's exploration of vulnerability, mental health, and self-acceptance, but with a fresh, more experimental sound. A departure from his previous works, PISCES is an intimate reflection of James’ personal journey, blending dreamy, ethereal production with his signature raw emotion.

“I’m a Pisces, and I’ve always resonated with the characteristics of a Pisces when you look into it – being a dreamer and quite sensitive. All the songs on this album are a small part of me and the building blocks of who I am. Pisces felt like the logical title to tie everything together.”
",2015-01-04T00:28:00Z,7660000,4923334149,292,UCV5Gw7GGOMxe6SSF6llp_3Q
UCcmpeVbSSQlZRvHfdC-CRwg,24 News HD,"This is the Official 24 News HD YouTube channel.

24 News HD is part of the largest news media organization, City News Network, and seeks to enlighten its viewers with quality analysis from renowned journalists including Nasim Zehra and anchors from across Pakistan and the globe. Stemming away from the traditional news channel, 24 News HD is a unique channel offering invigorating scrutiny, mentally stimulating analysis along with an acute focus on news reports.

Follow us on:-
►Website: https://www.24newshd.tv/
►Twitter: https://twitter.com/24NewsHD ​
►Facebook: http://www.facebook.com//24NewsHD.tv
►Instagram: https://www.instagram.com/24newshd.pk

#24NewsHD #News #LatestNews ",2015-11-14T05:26:09Z,8930000,3986813051,196178,UCcmpeVbSSQlZRvHfdC
UCWNSDOi4aRPDXmkOKoZKwfA,BigBlueUK,"no vids but subscribe plz
https://www.youtube.com/channel/UC_wITz-Ze4JFc3WLQA1n3Hw
this is Ruby and bonnys chanle",2013-09-22T16:57:55Z,4,13,2,UC_wITz
UCHiceVclOIFCgAcveITRLLw,Nickelodeon UK,"Welcome to the OFFICIAL Nickelodeon UK YouTube channel.

Hit subscribe to stay up to date with the funniest and most exclusive videos from your favourite shows, including SpongeBob SquarePants, Henry Danger, Victorious, The Loud House, and many more!

Head to www.nick.co.uk for more awesome videos and super fun games! You can also find us on Sky, Virgin Media, Talk Talk, VUTV, NowTV, Virgin Media (ROI) and Eir (ROI).

This YouTube channel is aimed at fans 13+.",2015-01-12T12:01:39Z,7480000,7981305286,3508,UCHiceVclOIFCgAcveITRLLw
UCQdsJ95w9jh-yB0BA6EDGWA,Rhia Official,"Business: rhia@insanityhq.com
Hey guys!♡My name is Rhia, I love Mystery Unboxing’s, Reading, Fidgets and TikTok!
I have 15 Million supporters on TikTok♡ and I post Youtube videos such as;
ASMR | Mystery Unboxings | 24 Hour Challenges | Fidget Hunting | Vlogs and more!♡
WELCOME TO THE RHIASQUAD!!❤️",2018-02-01T17:38:50Z,14900000,7211609563,1090,UCQdsJ95w9jh
UC1n_PfsVqxllCcnMPlxBIjw,Wilbur Soot,"i make music, play video games and have a grand old time :^)

You can kill the pee dog but you can't kill the dog pee",2019-03-29T14:06:40Z,5500000,803120534,139,UC1n_PfsVqxllCcnMPlxBIjw
UCZSlfzadjnw7G419c_OJ9eg,Mrwhosetheboss Plus,"It's in the title - more Mrwhosetheboss!  This is where I'll upload all extra content, like Behind the scenes, theme songs and more!   It'd make my day if you'd check out my Main Channel: https://youtube.com/mrwhosetheboss
",2021-04-11T16:34:36.204341Z,7060000,3846490833,186,UCZSlfzadjnw7G419c_OJ9eg
UCGm6xYJNpxiWr6pzKrpCI0w,AR,Sub to niko https://m.youtube.com/channel/UCdcUmdOxMrhRjKMw-BX19AA,2017-04-11T16:44:07Z,34,0,0,UCdcUmdOxMrhRjKMw
UC7_yh9PEDpaqp34QtGO-_Yw,The Wilsons,Business inquiries: cherina@hotmail.co.uk,2017-11-24T12:28:28Z,5830000,1652411137,414,UC7_yh9PEDpaqp34QtGO
UCH6vXjt-BA7QHl0KnfL-7RQ,Simon's Cat,"Simon's Cat is an animated series featuring the mischievous and often hilarious antics of a fat white cat and his owner Simon, stories that any pet owner can relate to!

The channel includes:
Simon's Cat Shorts - Funny animations that observe life as a cat owner.

Our extra content includes:
Simon's Cat Guide To - The world from Simon's Cat's eyes. 
Simon's Cat Logic - An informative series that looks at why cats do the crazy things they do, and what we can do to help them live happy and healthy lives.

Check out SCE here - https://www.youtube.com/user/simonscatextra",2007-11-14T17:16:29Z,6400000,1672057106,612,UCH6vXjt
UCSkC-QqugTzR-lWWqzLTnhg,Готовим с Джейми Оливером,"Канал посвящен видео-рецептам от Джейми Оливера.

Британец Джейми Оливер, он же просто Джейми, он же Голый Повар – известный ведущий кулинарных шоу, автор десятка книг с пошаговыми рецептами вкусных блюд, владелец сети ресторанов итальянской кухни. 

Официальные страницы Джейми Оливера:
Instagram: https://www.instagram.com/jamieoliver/
Facebook: https://www.facebook.com/jamieoliver
Сайт: https://www.jamieoliver.com/
Youtube-канал: https://www.youtube.com/channel/UCpSgg_ECBj25s9moCDfSTsA",2018-06-17T23:15:10Z,6010,256952,28,UCpSgg_ECBj25s9moCDfSTsA
UCQ-YJstgVdAiCT52TiBWDbg,ChrisMD,Doing this YouTube thing. Don't have a real job.,2010-07-06T10:01:35Z,6250000,1652720837,525,sirhcchris2010
UCu4XcDBdnZkV6-5z2f16M0g,Real Stories,"For immersive documentaries that delve into the depths of human experiences, Real Stories is your ultimate destination.

Here, we curate the finest documentaries from around the globe, ensuring a diverse and captivating selection, including many award-winning films.

Don't miss out on the latest updates and releases – hit that subscribe button and join our community of documentary enthusiasts.

Get ready to explore stories that will touch your heart, ignite conversations, and inspire change.

Real Stories is part of the Little Dot Studios Network.


",2015-02-16T11:22:12Z,6550000,1129512409,1173,UCu4XcDBdnZkV6
UCO66lK14MYiXlu0A6pQ4ouA,More Emily,"Toys , songs ,playground and learning
This channel is managed by a parent.   https://www.tiktok.com/@emilytube21?_t=8dUO5zVtxkp&_r=1",2016-02-05T16:00:54Z,5230000,1473781453,610,UCO66lK14MYiXlu0A6pQ4ouA
UCoMdktPbSTixAyNGwb-UYkQ,Sky News,"The full story, first. Free, wherever you get your news.

Sky News is now available in Spanish/Los video de Sky News están disponibles en español aquí: https://www.youtube.com/channel/UCzG5BnqHO8oNlrPDW9CYJog

Download the Sky News app: https://onelink.to/skynews",2006-06-12T12:03:23Z,8650000,5129032878,62173,UCoMdktPbSTixAyNGwb
UCc_-hy0u9-oKlNdMKHBudcQ,TheDadLab,"Kids Science Experiments and Interactive activities to do at home

I’m Sergei 👋 father of two adorable boys: Alex and Max. I love spending time with my kids and teaching them how to think creatively while having fun doing it. 

We love experimenting with the coolest science activities, fun educational toys, building sets, wooden toys, activity books and creative paper crafts. 

Subscribe for access to weekly DIY science activities you can do at home! http://bit.ly/ThedadlabOnYoutube

Follow my fatherhood journey.
FACEBOOK https://www.facebook.com/thedadlab
TWITTER https://twitter.com/thedadlab
INSTAGRAM https://www.instagram.com/thedadlab
TIKTOK https://www.tiktok.com/@thedadlab
Website https://thedadlab.com

Check out these popular videos!
https://www.youtube.com/watch?v=Kv5ZI6p6szg&list=PLqChB1IXCYBdK5TAovTqLahHu66zUzBcW


 #thedadlab #scienceexperiements #scienceforkids

For business enquiries, please contact: sergei@thedadlab.com",2016-01-06T13:09:39Z,5180000,3048718102,850,thedadlab
UCHaHD477h-FeBbVh9Sh7syA,BBC Learning English,"Learn English with the BBC. We publish new videos, podcasts, tutorials and lessons every week to help you learn and improve your English speaking, listening, vocabulary and pronunciation. Subscribe to our channel and hit the bell so you never miss our video uploads!

We love receiving, reading, and responding to your comments! We ask you all to please use English when you comment. Scroll down for a link to our house rules.

For more videos and content to help you learn English, visit our website. We're also on TikTok, Facebook and Instagram!
Happy learning!
",2008-06-17T16:15:16Z,8100000,405370606,3954,UCHaHD477h
UCvZwcK22QTUaM18KE7mHeNw,Max and Katy,Family friendly content,2015-02-07T16:31:27Z,4660000,1318125781,510,UCvZwcK22QTUaM18KE7mHeNw
UCkzCjdRMrW2vXLx8mvPVLdQ,Man City,Subscribe and get closer to Manchester City than ever before!,2009-07-07T14:04:39Z,8460000,2492433423,9455,UCkzCjdRMrW2vXLx8mvPVLdQ
UCDz2WObY9455S9IbLdZsrxg,XO,"From True Geordie, WillNE, Stephen Tries and Laurence McKenna - this is XO. 

What is XO? It's sports, culture and much, much more. 

SUBSCRIBE TO XO 👉http://bit.ly/XOSUBSCRIBE

The True Geordie: https://www.youtube.com/user/footballfan533
WillNE: https://www.youtube.com/channel/UCaFUrR3oSxOl5Y9y6tvLTEg
Stephen Tries: https://www.youtube.com/channel/UCRmmd8tl3sT96cqDynL4Qgg
Laurence McKenna: https://twitter.com/lozcast",2014-08-03T14:31:08Z,612000,51456766,66,UCaFUrR3oSxOl5Y9y6tvLTEg
UC6qOG_H9Dk1NFfrPGsdOtGQ,My names blurry face Twenty øne piløts,"https://www.youtube.com/channel/UCVj_il1VRLA-jMtq0ZtEjyg
https://www.youtube.com/channel/UCEGaoNmsAGRLzSoOckx3riw
https://www.youtube.com/channel/UCwzVdbRmLsYASNVwYShwyCw
https://www.youtube.com/channel/UChoQQRDf-zU1h6_YjKkWvdw

check them out 
jakefc333 is a gamer
 elliot giles is a Entertainer
caito potatoe is Entertainer
ben philips prankster

SUBSCRIBE to mine and there channels plz.
thank you.",2016-02-08T16:25:45Z,18,0,0,UChoQQRDf
